Title: Precursors prior to Type IIn supernova explosions are common: 
       precursor rates, properties, and correlations 
Authors: Ofek E.O., Sullivan M., Shaviv N.J., Steinbok A., Arcavi I., 
         Gal-Yam A., Tal D., Kulkarni S.R., Nugent P.E., Ben-Ami S., 
         Kasliwal M.M., Cenko S.B., Laher R., Surace J., Bloom J.S., 
         Filippenko A.V., Silverman J.M., Yaron O. 
Table: SN Observations
================================================================================
Byte-by-byte Description of file: apj496516t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     SN      Supernova identifier
  11- 11 A1     ---     Filter  Filter used in the observation
  13- 22 F10.5  d       Time    Time relative to t_rise
PTF11fzz  R -347.80000 55373.20000 80.108   -7.199 20.646    -17.5   116.0 
PTF11fzz  R -347.75500 55373.24500 22.432    1.933 20.613     67.2   119.6 
PTF11fzz  R -346.78800 55374.21200 21.932    1.602 20.317    106.5   157.1 
PTF11fzz  R -346.74100 55374.25900 24.320    8.044 20.953     11.8    87.4 
PTF11fzz  R -345.78100 55375.21900 23.079    1.327 21.669     37.0    45.2 
PTF11fzz  R -345.73800 55375.26200 22.408    0.997 21.307     68.7    63.1 
PTF11fzz  R -344.78600 55376.21400 80.629   -1.424 21.884    -28.3    37.1 
PTF11fzz  R -344.74100 55376.25900 24.199    6.919 20.995     13.2    84.1 
PTF11fzz  R -343.78800 55377.21200 78.478   -5.848 22.502     -3.9    21.0 
PTF11fzz  R -343.74400 55377.25600 80.197   -3.830 21.242    -19.0    67.0 
PTF11fzz  R -342.79300 55378.20700 81.567   -0.885 21.462    -67.1    54.7 
PTF11fzz  R -342.75000 55378.25000 82.466   -0.604 20.979   -153.6    85.4 
PTF11fzz  R -338.80600 55382.19400 23.146    1.844 21.378     34.8    59.1 
PTF11fzz  R -338.76000 55382.24000 25.149   10.327 21.511      5.5    52.3 
PTF11fzz  R -337.80800 55383.19200 22.795    0.625 22.201     48.1    27.7 
PTF11fzz  R -337.75900 55383.24100 80.803   -1.106 21.985    -33.2    33.8 
PTF11fzz  R -336.80800 55384.19200 81.887   -0.294 22.339    -90.1    24.4 
PTF11fzz  R -336.76100 55384.23900 22.324    0.666 21.662     74.2    45.5 
PTF11fzz  R -335.80700 55385.19300 80.197   -1.640 22.162    -19.0    28.7 
PTF11fzz  R -335.76400 55385.23600 81.223   -1.248 21.433    -48.9    56.2 
PTF11fzz  R -332.81800 55388.18200 80.955   -1.768 21.323    -38.2    62.2 
PTF11fzz  R -332.77500 55388.22500 84.254   -0.804 18.880   -797.3   590.2 
PTF11fzz  R -254.48000 55466.52000 82.638   -0.825 20.468   -179.9   136.7 
PTF11fzz  R -250.46900 55470.53100 82.476   -2.295 19.519   -155.0   327.6 
PTF11fzz  R -243.46500 55477.53500 22.473    2.221 20.503     64.7   132.3 
PTF11fzz  R -241.47800 55479.52200 82.032   -0.729 21.209   -103.0    69.1 
PTF11fzz  R -239.47700 55481.52300 80.923   -1.510 21.526    -37.1    51.6 
PTF11fzz  R -236.46100 55484.53900 82.512   -0.339 21.558   -160.3    50.1 
PTF11fzz  R -224.56300 55496.43700 21.357    1.379 19.905    180.8   229.6 
PTF11fzz  R -223.47200 55497.52800 22.591    1.395 21.127     58.0    74.5 
PTF11fzz  R -220.51400 55500.48600 80.667   -2.009 21.472    -29.3    54.2 
PTF11fzz  R -220.47100 55500.52900 23.911    3.062 21.593     17.2    48.5 
PTF11fzz  R -219.46900 55501.53100 21.950    0.798 21.092    104.7    76.9 
PTF11fzz  R -217.50400 55503.49600 81.698   -0.790 21.454    -75.7    55.1 
PTF11fzz  R -217.46000 55503.54000 81.333   -1.032 21.530    -54.1    51.4 
PTF11fzz  R -216.47000 55504.53000 26.897   38.504 21.830      1.1    39.0 
PTF11fzz  R -215.47500 55505.52500 80.790   -1.235 21.878    -32.8    37.3 
PTF11fzz  R -214.51700 55506.48300 22.083    0.656 21.439     92.6    55.9 
PTF11fzz  R -213.51200 55507.48800 81.079   -1.647 21.277    -42.8    64.9 
PTF11fzz  R -213.46700 55507.53300 81.991   -0.536 21.582    -99.2    49.0 
PTF11fzz  R -207.60900 55513.39100 81.317   -1.168 21.412    -53.3    57.3 
PTF11fzz  R -207.56500 55513.43500 29.500  536.484 21.573      0.1    49.4 
PTF11fzz  R -206.59800 55514.40200 79.926   -9.539 20.522    -14.8   130.0 
PTF11fzz  R -206.54600 55514.45400 80.894   -2.124 21.185    -36.1    70.6 
PTF11fzz  R -205.55500 55515.44500 81.219   -1.055 21.620    -48.7    47.3 
PTF11fzz  R -204.55500 55516.44500 79.842   -3.797 21.606    -13.7    47.9 
PTF11fzz  R -204.51100 55516.48900 81.607   -0.506 22.031    -69.6    32.4 
PTF11fzz  R -202.58600 55518.41400 23.204    2.791 20.986     33.0    84.8 
PTF11fzz  R -202.54200 55518.45800 81.412   -1.090 21.391    -58.2    58.4 
PTF11fzz  R -201.52300 55519.47700 24.112   29.694 19.327     14.3   391.0 
PTF11fzz  R -201.48100 55519.51900 24.232    3.445 21.786     12.8    40.6 
PTF11fzz  R -195.46100 55525.53900 80.242   -5.962 20.717    -19.8   108.7 
PTF11fzz  R -194.46000 55526.54000 82.532   -0.416 21.317   -163.3    62.5 
PTF11fzz  R -193.45600 55527.54400 22.398    0.564 21.916     69.3    36.0 
PTF11fzz  R -190.65600 55530.34400 81.263   -2.078 20.840    -50.7    97.0 
PTF11fzz  R -190.61200 55530.38800 81.185   -1.958 20.982    -47.2    85.1 
PTF11fzz  R -189.65300 55531.34700 82.220   -0.688 21.083   -122.5    77.6 
PTF11fzz  R -189.61000 55531.39000 24.842   11.039 21.131      7.3    74.2 
PTF11fzz  R -188.55200 55532.44800 23.344    2.464 21.262     29.0    65.8 
PTF11fzz  R -188.50100 55532.49900 80.906   -1.211 21.783    -36.5    40.7 
PTF11fzz  R -183.61500 55537.38500 23.217    1.669 21.558     32.6    50.1 
PTF11fzz  R -183.47200 55537.52800 81.580   -0.637 21.807    -67.9    39.8 
PTF11fzz  R -182.51900 55538.48100 81.372   -0.478 22.325    -56.1    24.7 
PTF11fzz  R -182.47400 55538.52600 27.387   38.475 22.321      0.7    24.8 
PTF11fzz  R -178.43700 55542.56300 80.938   -1.190 21.770    -37.6    41.2 
PTF11fzz  R -166.49700 55554.50300 81.675   -0.555 21.861    -74.1    37.9 
PTF11fzz  R -166.45400 55554.54600 24.045    3.608 21.549     15.2    50.5 
PTF11fzz  R -163.59700 55557.40300 21.991    0.624 21.401    100.8    57.9 
PTF11fzz  R -163.55300 55557.44700 81.126   -0.792 22.024    -44.7    32.6 
PTF11fzz  R -159.45100 55561.54900 21.355    0.590 20.824    181.2    98.5 
PTF11fzz  R -153.65200 55567.34800 22.285    0.772 21.462     76.9    54.7 
PTF11fzz  R -151.50400 55569.49600 81.522   -0.707 21.752    -64.4    41.9 
PTF11fzz  R -148.68100 55572.31900 80.869   -2.963 20.848    -35.3    96.3 
PTF11fzz  R -147.46000 55573.54000 22.761    0.690 22.061     49.6    31.5 
PTF11fzz  R -145.75800 55575.24200 21.609    0.718 20.865    143.4    94.8 
PTF11fzz  R -144.71400 55576.28600 23.467    7.430 20.186     25.9   177.2 
PTF11fzz  R -144.66900 55576.33100 82.648   -0.876 20.393   -181.6   146.5 
PTF11fzz  R -143.69200 55577.30800 81.192   -3.299 20.409    -47.5   144.3 
PTF11fzz  R -143.64800 55577.35200 22.390    1.771 20.667     69.8   113.8 
PTF11fzz  R -142.67500 55578.32500 20.927    0.577 20.420    268.6   142.8 
PTF11fzz  R -142.63000 55578.37000 21.783    1.645 20.139    122.1   185.0 
PTF11fzz  R -141.67900 55579.32100 24.447    9.764 20.870     10.5    94.4 
PTF11fzz  R -141.63500 55579.36500 81.918   -0.459 21.824    -92.7    39.2 
PTF11fzz  R -140.59100 55580.40900 22.398    1.779 20.670     69.3   113.5 
PTF11fzz  R -140.54800 55580.45200 81.661   -1.381 20.885    -73.2    93.1 
PTF11fzz  R -139.60000 55581.40000 22.023    1.952 20.193     97.9   176.0 
PTF11fzz  R -139.55600 55581.44400 82.328   -1.107 20.458   -135.3   137.9 
PTF11fzz  R -138.60400 55582.39600 22.939    3.077 20.616     42.1   119.3 
PTF11fzz  R -138.56000 55582.44000 23.011    2.654 20.848     39.4    96.3 
PTF11fzz  R -137.60700 55583.39300 22.414    0.978 21.335     68.3    61.5 
PTF11fzz  R -137.56300 55583.43700 22.836    1.564 21.247     46.3    66.7 
PTF11fzz  R -136.58100 55584.41900 80.346   -4.060 21.029    -21.8    81.5 
PTF11fzz  R -135.58400 55585.41600 82.010   -0.777 21.161   -100.9    72.2 
PTF11fzz  R -135.52900 55585.47100 21.848    0.632 21.244    115.0    66.9 
PTF11fzz  R -134.54300 55586.45700 82.751   -0.374 21.213   -199.7    68.8 
PTF11fzz  R -134.49800 55586.50200 80.618   -4.615 20.618    -28.0   119.0 
PTF11fzz  R -133.54400 55587.45600 81.058   -1.381 21.488    -42.0    53.4 
PTF11fzz  R -133.50100 55587.49900 23.549    2.783 21.335     24.0    61.5 
PTF11fzz  R -132.48200 55588.51800 81.857   -0.702 21.423    -87.7    56.7 
PTF11fzz  R -131.43500 55589.56500 25.579    8.893 22.104      3.7    30.3 
PTF11fzz  R -130.46100 55590.53900 79.680   -5.596 21.347    -11.8    60.8 
PTF11fzz  R -129.65200 55591.34800 81.514   -2.641 20.329    -63.9   155.4 
PTF11fzz  R -117.85400 55603.14600 22.331    1.913 20.524     73.7   129.8 
PTF11fzz  R -116.84300 55604.15700 80.321   -4.211 21.015    -21.3    82.6 
PTF11fzz  R -116.79900 55604.20100 82.103   -0.867 20.948   -110.0    87.8 
PTF11fzz  R -115.84600 55605.15400 82.227   -0.804 20.907   -123.2    91.2 
PTF11fzz  R -115.80100 55605.19900 78.360  -17.159 21.450     -3.5    55.3 
PTF11fzz  R -114.79600 55606.20400 23.103    1.695 21.427     36.2    56.5 
PTF11fzz  R -114.75100 55606.24900 82.274   -0.502 21.371   -128.7    59.5 
PTF11fzz  R -112.76000 55608.24000 83.453   -0.306 20.730   -381.4   107.4 
PTF11fzz  R -112.71500 55608.28500 84.257   -0.510 19.372   -799.5   375.2 
PTF11fzz  R -106.49100 55614.50900 22.546    0.754 21.749     60.5    42.0 
PTF11fzz  R -106.44700 55614.55300 81.086   -1.237 21.579    -43.1    49.1 
PTF11fzz  R  -87.86400 55633.13600 23.340    1.672 21.679     29.1    44.8 
PTF11fzz  R  -87.82100 55633.17900 81.418   -0.665 21.922    -58.5    35.8 
PTF11fzz  R  -86.86200 55634.13800 22.869    1.761 21.152     44.9    72.8 
PTF11fzz  R  -86.72900 55634.27100 24.544    6.301 21.443      9.6    55.7 
PTF11fzz  R  -85.82800 55635.17200 21.783    1.095 20.582    122.1   123.1 
PTF11fzz  R  -84.86600 55636.13400 23.244    4.788 20.440     31.8   140.2 
PTF11fzz  R  -84.82300 55636.17700 20.905    0.591 20.374    274.1   149.1 
PTF11fzz  R  -83.86200 55637.13800 82.059   -0.963 20.879   -105.6    93.6 
PTF11fzz  R  -83.81900 55637.18100 82.400   -0.584 21.080   -144.6    77.8 
PTF11fzz  R  -82.86400 55638.13600 21.874    3.040 19.563    112.3   314.4 
PTF11fzz  R  -82.82000 55638.18000 21.020    1.543 19.445    246.7   350.6 
PTF11fzz  R  -81.85800 55639.14200 21.147    1.323 19.740    219.3   267.2 
PTF11fzz  R  -81.81400 55639.18600 23.943   17.330 19.743     16.7   266.5 
PTF11fzz  R  -77.76400 55643.23600 24.676    3.756 22.136      8.5    29.4 
PTF11fzz  R  -77.72100 55643.27900 81.091   -0.690 22.209    -43.3    27.5 
PTF11fzz  R  -69.72700 55651.27300 81.529   -0.550 22.018    -64.8    32.8 
PTF11fzz  R  -69.68400 55651.31600 79.532   -5.377 21.538    -10.3    51.0 
PTF11fzz  R  -68.75600 55652.24400 81.620   -0.482 22.068    -70.5    31.3 
PTF11fzz  R  -68.71200 55652.28800 80.714   -1.143 22.038    -30.6    32.2 
PTF11fzz  R  -57.77300 55663.22700 79.940   -3.026 21.754    -15.0    41.8 
PTF11fzz  R  -57.72900 55663.27100 82.430   -0.481 21.262   -148.6    65.8 
PTF11fzz  R  -54.83000 55666.17000 22.984    1.331 21.571     40.4    49.5 
PTF11fzz  R  -54.78600 55666.21400 82.855   -0.371 21.120   -219.8    75.0 
PTF11fzz  R  -53.82700 55667.17300 22.657    0.951 21.609     54.6    47.8 
PTF11fzz  R  -53.78400 55667.21600 22.003    0.576 21.499     99.7    52.9 
PTF11fzz  R  -52.83600 55668.16400 82.537   -0.410 21.328   -164.0    61.9 
PTF11fzz  R  -52.79300 55668.20700 22.498    0.782 21.662     63.2    45.5 
PTF11fzz  R  -49.72900 55671.27100 80.432   -1.739 21.863    -23.6    37.8 
PTF11fzz  R  -49.67800 55671.32200 80.711   -2.695 21.109    -30.5    75.7 
PTF11fzz  R  -46.75300 55674.24700 80.504   -1.202 22.193    -25.2    27.9 
PTF11fzz  R  -46.70900 55674.29100 81.239   -0.990 21.669    -49.6    45.2 
PTF11fzz  R  -42.63300 55678.36700 80.321   -2.381 21.634    -21.3    46.7 
PTF11fzz  R  -42.59000 55678.41000 82.093   -0.525 21.505   -108.9    52.6 
PTF11fzz  R  -41.71900 55679.28100 81.329   -0.433 22.476    -53.9    21.5 
PTF11fzz  R  -41.67500 55679.32500 23.227    0.780 22.393     32.3    23.2 
PTF11fzz  R  -40.71300 55680.28700 23.568    2.002 21.711     23.6    43.5 
PTF11fzz  R  -40.66900 55680.33100 82.153   -0.667 21.184   -115.1    70.7 
PTF11fzz  R  -38.70900 55682.29100 80.050   -4.220 21.283    -16.6    64.5 
PTF11fzz  R  -38.65400 55682.34600 22.869    1.509 21.319     44.9    62.4 
PTF11fzz  R  -37.66500 55683.33500 80.958   -1.630 21.408    -38.3    57.5 
PTF11fzz  R  -37.62100 55683.37900 24.182    6.030 21.128     13.4    74.4 
PTF11fzz  R  -27.69000 55693.31000 81.932   -0.554 21.606    -93.9    47.9 
PTF11fzz  R  -27.64600 55693.35400 22.901    1.066 21.729     43.6    42.8 
PTF11fzz  R  -26.72900 55694.27100 82.110   -0.465 21.618   -110.7    47.4 
PTF11fzz  R  -26.68600 55694.31400 80.508   -2.198 21.534    -25.3    51.2 
PTF11fzz  R  -25.72500 55695.27500 81.597   -1.401 20.934    -69.0    89.0 
PTF11fzz  R  -25.67400 55695.32600 79.015  -13.914 21.023     -6.4    82.0 
PTF11fzz  R  -24.72200 55696.27800 79.698   -9.095 20.802    -12.0   100.5 
PTF11fzz  R  -24.67900 55696.32100 80.050   -6.621 20.794    -16.6   101.2 
PTF11fzz  R  -23.69400 55697.30600 82.735   -0.594 20.728   -196.8   107.6 
PTF11fzz  R  -18.71800 55702.28200 82.381   -0.232 22.104   -142.0    30.3 
PTF11fzz  R  -18.67400 55702.32600 82.582   -0.392 21.330   -171.0    61.8 
PTF11fzz  R  -17.72900 55703.27100 21.523    0.903 20.530    155.2   129.1 
PTF11fzz  R  -16.70000 55704.30000 81.476   -0.949 21.478    -61.7    53.9 
PTF11fzz  R  -16.65100 55704.34900 23.296    3.516 20.828     30.3    98.1 
PTF11fzz  R  -14.69400 55706.30600 81.750   -0.399 22.144    -79.4    29.2 
PTF11fzz  R  -14.65100 55706.34900 22.755    0.901 21.765     49.9    41.4 
PTF11fzz  R  -13.72700 55707.27300 25.468    9.032 21.975      4.1    34.1 
PTF11fzz  R  -13.68100 55707.31900 81.921   -0.787 21.236    -93.0    67.4 
PTF11fzz  R  -12.71300 55708.28700 80.975   -1.184 21.739    -38.9    42.4 
PTF11fzz  R  -12.66900 55708.33100 23.171    1.444 21.669     34.0    45.2 
PTF11fzz  R    1.18200 55722.18200 20.991    0.168 21.827    253.2    39.1 
PTF11fzz  R    1.26800 55722.26800 20.788    0.250 21.191    305.4    70.2 
PTF11fzz  R    3.23100 55724.23100 20.592    0.213 21.165    365.8    71.9 
PTF11fzz  R    4.18700 55725.18700 20.011    0.089 21.530    624.8    51.4 
PTF11fzz  R    4.23100 55725.23100 20.155    0.131 21.260    547.1    65.9 
PTF11fzz  R    9.20300 55730.20300 19.087    0.026 21.963   1463.1    34.5 
PTF11fzz  R    9.24600 55730.24600 18.966    0.061 20.907   1635.2    91.2 
PTF11fzz  R   10.19600 55731.19600 18.936    0.039 21.360   1681.2    60.1 
PTF11fzz  R   10.24300 55731.24300 19.065    0.056 21.084   1492.6    77.5 
PTF11fzz  R   11.18500 55732.18500 18.759    0.025 21.650   1979.7    46.0 
PTF11fzz  R   11.23000 55732.23000 18.864    0.043 21.173   1795.6    71.4 
PTF11fzz  R   12.18500 55733.18500 18.698    0.017 22.031   2092.3    32.4 
PTF11fzz  R   12.22900 55733.22900 18.744    0.022 21.789   2005.5    40.5 
PTF11fzz  R   13.19100 55734.19100 18.698    0.020 21.855   2093.2    38.1 
PTF11fzz  R   13.23400 55734.23400 18.596    0.015 22.055   2299.3    31.7 
PTF11fzz  R   14.18200 55735.18200 18.534    0.018 21.786   2434.1    40.6 
PTF11fzz  R   14.23200 55735.23200 18.483    0.016 21.878   2552.0    37.3 
PTF11fzz  R   29.18100 55750.18100 17.906    0.016 21.319   4340.0    62.4 
PTF11fzz  R   29.22500 55750.22500 17.858    0.016 21.272   4538.8    65.2 
PTF11fzz  R  121.49400 55842.49400 17.750    0.021 20.861   5012.7    95.2 
PTF11fzz  R  121.53700 55842.53700 17.737    0.032 20.379   5073.8   148.4 
PTF11fzz  R  122.48800 55843.48800 17.746    0.022 20.766   5030.9   103.9 
PTF11fzz  R  122.49300 55843.49300 17.787    0.031 20.449   4842.9   139.1 
PTF11fzz  R  123.48600 55844.48600 17.819    0.029 20.557   4703.2   125.9 
PTF11fzz  R  123.49000 55844.49000 17.703    0.029 20.448   5233.9   139.2 
PTF11fzz  R  128.47300 55849.47300 17.841    0.028 20.612   4609.3   119.7 
PTF11fzz  R  128.47800 55849.47800 17.832    0.024 20.780   4647.5   102.5 
PTF11fzz  R  129.46800 55850.46800 17.912    0.023 20.904   4318.2    91.5 
PTF11fzz  R  129.46900 55850.46900 17.833    0.026 20.688   4642.3   111.6 
PTF11fzz  R  130.46600 55851.46600 17.852    0.026 20.732   4562.0   107.2 
PTF11fzz  R  130.47300 55851.47300 17.905    0.024 20.836   4343.6    97.4 
PTF11fzz  R  131.52700 55852.52700 17.978    0.019 21.168   4064.0    71.7 
PTF11fzz  R  132.47000 55853.47000 17.947    0.030 20.661   4182.0   114.4 
PTF11fzz  R  132.52000 55853.52000 17.923    0.021 21.031   4272.0    81.4 
PTF11fzz  R  133.49000 55854.49000 17.986    0.020 21.150   4031.0    72.9 
PTF11fzz  R  133.53400 55854.53400 17.959    0.022 20.990   4133.3    84.5 
PTF11fzz  R  145.52200 55866.52200 18.233    0.021 21.330   3213.4    61.8 
PTF11fzz  R  145.52300 55866.52300 18.210    0.026 21.055   3280.6    79.6 
PTF11fzz  R  153.45700 55874.45700 18.421    0.063 20.324   2702.4   156.1 
PTF11fzz  R  153.45800 55874.45800 18.315    0.047 20.523   2977.6   129.9 
PTF11fzz  R  159.54900 55880.54900 18.446    0.039 20.859   2638.8    95.3 
PTF11fzz  R  159.55000 55880.55000 18.531    0.038 20.993   2440.7    84.3 
PTF11fzz  R  278.15400 55999.15400 19.154    0.046 21.387   1375.4    58.6 
PTF11fzz  R  278.21600 55999.21600 19.192    0.043 21.499   1327.6    52.9 
PTF11fzz  R  280.24600 56001.24600 19.228    0.038 21.681   1284.3    44.7 
PTF11fzz  R  280.29000 56001.29000 19.208    0.048 21.399   1308.1    58.0 
PTF11fzz  R  282.19300 56003.19300 19.139    0.057 21.139   1394.6    73.7 
PTF11fzz  R  285.48000 56006.48000 19.145    0.046 21.393   1386.5    58.3 
PTF11fzz  R  286.15400 56007.15400 19.332    0.064 21.220   1167.7    68.4 
PTF11fzz  R  288.19600 56009.19600 19.294    0.025 22.209   1209.0    27.5 
PTF11fzz  R  288.24000 56009.24000 19.254    0.026 22.133   1254.1    29.5 
PTF11fzz  R  288.30300 56009.30300 19.299    0.033 21.904   1203.4    36.4 
PTF11fzz  R  477.51600 56198.51600 22.466    1.485 20.934     65.1    89.0 
PTF11fzz  R  477.52100 56198.52100 20.971    0.237 21.429    258.0    56.4 
PTF11fzz  R  477.53000 56198.53000 21.104    0.474 20.810    228.3    99.7 
PTF11fzz  R  504.53900 56225.53900 21.245    0.466 20.971    200.5    86.0 
PTF11fzz  R  507.46800 56228.46800 20.956    0.416 20.805    261.5   100.2 
PTF11fzz  R  507.49700 56228.49700 21.676    0.605 21.118    134.8    75.1 
PTF11fzz  R  514.50100 56235.50100 22.343    1.146 21.092     72.9    76.9 
PTF11fzz  R  514.53300 56235.53300 22.100    0.672 21.429     91.2    56.4 
PTF11fzz  R  516.51100 56237.51100 22.304    0.453 22.061     75.6    31.5 
PTF11fzz  R  516.54400 56237.54400 21.577    0.435 21.378    147.6    59.1 
PTF11fzz  R  518.44900 56239.44900 21.399    0.362 21.399    174.0    58.0 
PTF11fzz  R  532.55400 56253.55400 21.738    0.322 21.863    127.3    37.8 
PTF11fzz  R  533.40900 56254.40900 23.386    2.273 21.391     27.9    58.4 
PTF11fzz  R  533.43900 56254.43900 21.639    0.294 21.863    139.5    37.8 
PTF11fzz  R  535.35900 56256.35900 22.059    1.068 20.885     94.7    93.1 
PTF11fzz  R  535.38900 56256.38900 22.593    1.395 21.128     57.9    74.4 
PTF11fzz  R  545.41700 56266.41700 22.412    1.883 20.622     68.4   118.6 
PTF11fzz  R  545.44700 56266.44700 22.393    1.105 21.182     69.6    70.8 
PTF11fzz  R  548.51000 56269.51000 22.714    0.379 22.663     51.8    18.1 
PTF11fzz  R  548.55000 56269.55000 22.073    0.276 22.366     93.5    23.8 
PTF11fzz  R  550.54300 56271.54300 22.173    0.600 21.625     85.3    47.1 
PTF11fzz  R  552.55900 56273.55900 22.098    0.422 21.932     91.4    35.5 
PTF11fzz  R  580.39900 56301.39900 23.382    1.877 21.595     28.0    48.4 
PTF11fzz  R  580.46100 56301.46100 21.963    0.608 21.401    103.5    57.9 
PTF11fzz  R  584.37300 56305.37300 21.862    0.435 21.662    113.6    45.5 
PTF11fzz  R  584.47300 56305.47300 22.311    0.416 22.159     75.1    28.8 
PTF11fzz  R  585.39500 56306.39500 24.857    5.898 21.827      7.2    39.1 
PTF11fzz  R  585.44300 56306.44300 22.189    0.500 21.838     84.0    38.7 
PTF11fzz  R  585.49100 56306.49100 21.917    0.431 21.729    107.9    42.8 
PTF11fzz  R  586.46100 56307.46100 22.591    0.824 21.699     58.0    44.0 
PTF11fzz  R  586.50800 56307.50800 23.039    1.326 21.629     38.4    46.9 
PTF11fzz  R  587.53800 56308.53800 24.320    4.335 21.625     11.8    47.1 
PTF11fzz  g -745.78400 54975.21600 80.972   -0.568 22.538    -38.8    20.3 
PTF11fzz  g -745.73400 54975.26600 23.886    1.419 22.403     17.6    23.0 
PTF11fzz  g -745.67200 54975.32800 23.856    2.436 21.786     18.1    40.6 
PTF11fzz  g -745.62600 54975.37400 23.053    1.527 21.490     37.9    53.3 
PTF11fzz  g -475.43600 55245.56400 81.824   -0.691 21.474    -85.0    54.1 
PTF11fzz  g -158.71900 55562.28100 82.042   -1.182 20.674   -103.9   113.1 
PTF11fzz  g -154.51000 55566.49000 79.158   -6.680 21.677     -7.3    44.9 
PTF11fzz  g -149.61400 55571.38600 23.422    1.806 21.677     27.0    44.9 
PTF11fzz  g  -96.54100 55624.45900 80.693   -1.770 21.584    -30.0    48.9 
PTF11fzz  g  -91.86300 55629.13700 22.366    1.010 21.252     71.4    66.4 
PTF11fzz  g  -91.81900 55629.18100 24.903    8.342 21.497      6.9    53.0 
PTF11fzz  g  -90.82300 55630.17700 81.128   -0.616 22.295    -44.8    25.4 
PTF11fzz  g  -90.77100 55630.22900 81.109   -0.859 21.953    -44.0    34.8 
PTF11fzz  g  -89.86000 55631.14000 81.147   -0.812 21.975    -45.6    34.1 
